"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UQ4U3B59","journalArticle","2014","Calhoun, V. D.; Miller, R. L.; Pearlson, G.; Adalı, T.","The Chronnectome: Time-Varying Connectivity Networks as the Next Frontier in fMRI Data Discovery","Neuron","","0896-6273","10.1016/j.neuron.2014.10.015","http://www.sciencedirect.com/science/article/pii/S0896627314009131","Recent years have witnessed a rapid growth of interest in moving functional magnetic resonance imaging (fMRI) beyond simple scan-length averages and into approaches that capture time-varying properties of connectivity. In this Perspective we use the term “chronnectome” to describe metrics that allow a dynamic view of coupling. In the chronnectome, coupling refers to possibly time-varying levels of correlated or mutually informed activity between brain regions whose spatial properties may also be temporally evolving. We primarily focus on multivariate approaches developed in our group and review a number of approaches with an emphasis on matrix decompositions such as principle component analysis and independent component analysis. We also discuss the potential these approaches offer to improve characterization and understanding of brain function. There are a number of methodological directions that need to be developed further, but chronnectome approaches already show great promise for the study of both the healthy and the diseased brain.","2014-10-22","2016-04-22 22:45:57","2017-03-07 00:32:30","2016-04-22 22:45:57","262-274","","2","84","","Neuron","The Chronnectome","","","","","","","","","","","","ScienceDirect","","","","/Users/Eva/Zotero/storage/WGUPKGUP/Calhoun et al. - 2014 - The Chronnectome Time-Varying Connectivity Networ.pdf; /Users/Eva/Zotero/storage/2DWZQN66/S0896627314009131.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NMM78AFX","journalArticle","2016","Miller, R. L.; Yaesoubi, M.; Turner, J. A.; Mathalon, D. H.; Preda, A.; Pearlson, G.; Adali, T.; Calhoun, V. D.","Higher Dimensional Meta-State Analysis Reveals Reduced Resting fMRI Connectivity Dynamism in Schizophrenia Patients","PLOS ONE","","1932-6203","10.1371/journal.pone.0149849","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0149849","Resting-state functional brain imaging studies of network connectivity have long assumed that functional connections are stationary on the timescale of a typical scan. Interest in moving beyond this simplifying assumption has emerged only recently. The great hope is that training the right lens on time-varying properties of whole-brain network connectivity will shed additional light on previously concealed brain activation patterns characteristic of serious neurological or psychiatric disorders. We present evidence that multiple explicitly dynamical properties of time-varying whole-brain network connectivity are strongly associated with schizophrenia, a complex mental illness whose symptomatic presentation can vary enormously across subjects. As with so much brain-imaging research, a central challenge for dynamic network connectivity lies in determining transformations of the data that both reduce its dimensionality and expose features that are strongly predictive of important population characteristics. Our paper introduces an elegant, simple method of reducing and organizing data around which a large constellation of mutually informative and intuitive dynamical analyses can be performed. This framework combines a discrete multidimensional data-driven representation of connectivity space with four core dynamism measures computed from large-scale properties of each subject’s trajectory, ie., properties not identifiable with any specific moment in time and therefore reasonable to employ in settings lacking inter-subject time-alignment, such as resting-state functional imaging studies. Our analysis exposes pronounced differences between schizophrenia patients (N sz  = 151) and healthy controls (N hc  = 163). Time-varying whole-brain network connectivity patterns are found to be markedly less dynamically active in schizophrenia patients, an effect that is even more pronounced in patients with high levels of hallucinatory behavior. To the best of our knowledge this is the first demonstration that high-level dynamic properties of whole-brain connectivity, generic enough to be commensurable under many decompositions of time-varying connectivity data, exhibit robust and systematic differences between schizophrenia patients and healthy controls.","2016-03-16","2016-06-07 18:35:40","2017-03-07 00:30:52","2016-06-07 18:35:40","e0149849","","3","11","","PLOS ONE","","","","","","","","","","","","","PLoS Journals","","","","/Users/Eva/Zotero/storage/DSD4H8KS/Miller et al. - 2016 - Higher Dimensional Meta-State Analysis Reveals Red.pdf; /Users/Eva/Zotero/storage/ZAXEI6FQ/article.html","","","Behavioral and social aspects of health; Demography; Fluid dynamics; functional magnetic resonance imaging; Neural networks; Principal component analysis; schizophrenia; Social psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QGSP6VPB","journalArticle","2013","Hutchison, R. Matthew; Womelsdorf, Thilo; Gati, Joseph S.; Everling, Stefan; Menon, Ravi S.","Resting-state networks show dynamic functional connectivity in awake humans and anesthetized macaques","Human Brain Mapping","","1097-0193","10.1002/hbm.22058","http://onlinelibrary.wiley.com/doi/10.1002/hbm.22058/abstract","Characterization of large-scale brain networks using blood-oxygenation-level-dependent functional magnetic resonance imaging is typically based on the assumption of network stationarity across the duration of scan. Recent studies in humans have questioned this assumption by showing that within-network functional connectivity fluctuates on the order of seconds to minutes. Time-varying profiles of resting-state networks (RSNs) may relate to spontaneously shifting, electrophysiological network states and are thus mechanistically of particular importance. However, because these studies acquired data from awake subjects, the fluctuating connectivity could reflect various forms of conscious brain processing such as passive mind wandering, active monitoring, memory formation, or changes in attention and arousal during image acquisition. Here, we characterize RSN dynamics of anesthetized macaques that control for these accounts, and compare them to awake human subjects. We find that functional connectivity among nodes comprising the “oculomotor (OCM) network” strongly fluctuated over time during awake as well as anaesthetized states. For time dependent analysis with short windows (<60 s), periods of positive functional correlations alternated with prominent anticorrelations that were missed when assessed with longer time windows. Similarly, the analysis identified network nodes that transiently link to the OCM network and did not emerge in average RSN analysis. Furthermore, time-dependent analysis reliably revealed transient states of large-scale synchronization that spanned all seeds. The results illustrate that resting-state functional connectivity is not static and that RSNs can exhibit nonstationary, spontaneous relationships irrespective of conscious, cognitive processing. The findings imply that mechanistically important network information can be missed when using average functional connectivity as the single network measure. Hum Brain Mapp 34:2154–2177, 2013. © 2011 Wiley Periodicals, Inc.","2013-09-01","2016-08-05 20:55:09","2016-08-05 20:55:09","2016-08-05 20:55:09","2154-2177","","9","34","","Hum. Brain Mapp","","","","","","","","en","","","","","Wiley Online Library","","","","/Users/Eva/Zotero/storage/BNWDQ9I3/Hutchison et al. - 2013 - Resting-state networks show dynamic functional con.pdf; /Users/Eva/Zotero/storage/NARVA5UI/abstract.html","","","Dynamics; Fluctuations; Functional connectivity; Functional MRI (fMRI); macaque; nonstationary; Resting-state; Spontaneous activity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9XPUBTAX","journalArticle","2008","Jafri, Madiha J.; Pearlson, Godfrey D.; Stevens, Michael; Calhoun, Vince D.","A method for functional network connectivity among spatially independent resting-state components in schizophrenia","NeuroImage","","1053-8119","10.1016/j.neuroimage.2007.11.001","http://www.sciencedirect.com/science/article/pii/S1053811907010282","Functional connectivity of the brain has been studied by analyzing correlation differences in time courses among seed voxels or regions with other voxels of the brain in healthy individuals as well as in patients with brain disorders. The spatial extent of strongly temporally coherent brain regions co-activated during rest has also been examined using independent component analysis (ICA). However, the weaker temporal relationships among ICA component time courses, which we operationally define as a measure of functional network connectivity (FNC), have not yet been studied. In this study, we propose an approach for evaluating FNC and apply it to functional magnetic resonance imaging (fMRI) data collected from persons with schizophrenia and healthy controls. We examined the connectivity and latency among ICA component time courses to test the hypothesis that patients with schizophrenia would show increased functional connectivity and increased lag among resting state networks compared to controls. Resting state fMRI data were collected and the inter-relationships among seven selected resting state networks (identified using group ICA) were evaluated by correlating each subject's ICA time courses with one another. Patients showed higher correlation than controls among most of the dominant resting state networks. Patients also had slightly more variability in functional connectivity than controls. We present a novel approach for quantifying functional connectivity among brain networks identified with spatial ICA. Significant differences between patient and control connectivity in different networks were revealed possibly reflecting deficiencies in cortical processing in patients.","2008-02-15","2016-08-05 20:42:24","2016-08-05 20:42:24","2016-08-05 20:42:24","1666-1681","","4","39","","NeuroImage","","","","","","","","","","","","","ScienceDirect","","","","/Users/Eva/Zotero/storage/B5QMRBH5/1-s2.0-S1053811907010282-main.pdf; /Users/Eva/Zotero/storage/T8H3SUD6/S1053811907010282.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27MM2DJR","journalArticle","2013","Hutchison, R. Matthew; Womelsdorf, Thilo; Allen, Elena A.; Bandettini, Peter A.; Calhoun, Vince D.; Corbetta, Maurizio; Della Penna, Stefania; Duyn, Jeff H.; Glover, Gary H.; Gonzalez-Castillo, Javier; Handwerker, Daniel A.; Keilholz, Shella; Kiviniemi, Vesa; Leopold, David A.; de Pasquale, Francesco; Sporns, Olaf; Walter, Martin; Chang, Catie","Dynamic functional connectivity: Promise, issues, and interpretations","NeuroImage","","1053-8119","10.1016/j.neuroimage.2013.05.079","http://www.sciencedirect.com/science/article/pii/S105381191300579X","The brain must dynamically integrate, coordinate, and respond to internal and external stimuli across multiple time scales. Non-invasive measurements of brain activity with fMRI have greatly advanced our understanding of the large-scale functional organization supporting these fundamental features of brain function. Conclusions from previous resting-state fMRI investigations were based upon static descriptions of functional connectivity (FC), and only recently studies have begun to capitalize on the wealth of information contained within the temporal features of spontaneous BOLD FC. Emerging evidence suggests that dynamic FC metrics may index changes in macroscopic neural activity patterns underlying critical aspects of cognition and behavior, though limitations with regard to analysis and interpretation remain. Here, we review recent findings, methodological considerations, neural and behavioral correlates, and future directions in the emerging field of dynamic FC investigations.","2013-10-15","2016-06-10 22:04:18","2017-10-10 00:56:14","2016-06-10 22:04:18","360-378","","","80","","NeuroImage","Dynamic functional connectivity","Mapping the Connectome","","","","","","","","","","","ScienceDirect","","","","/Users/Eva/Zotero/storage/9ZZBRXVW/Hutchison et al. - 2013 - Dynamic functional connectivity Promise, issues, .pdf; /Users/Eva/Zotero/storage/HSK2TVPV/Hutchison et al. - 2013 - Dynamic functional connectivity Promise, issues, .pdf; /Users/Eva/Zotero/storage/5XW2WND9/S105381191300579X.html; /Users/Eva/Zotero/storage/3DQM77U6/S105381191300579X.html","","Dynamics; Fluctuations; Functional connectivity; Functional MRI (fMRI); Resting state; Spontaneous activity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VH7RWKZI","journalArticle","2012","Calhoun, V. D.; Adali, T.","Multisubject Independent Component Analysis of fMRI: A Decade of Intrinsic Networks, Default Mode, and Neurodiagnostic Discovery","IEEE Reviews in Biomedical Engineering","","1937-3333","10.1109/RBME.2012.2211076","","Since the discovery of functional connectivity in fMRI data (i.e., temporal correlations between spatially distinct regions of the brain) there has been a considerable amount of work in this field. One important focus has been on the analysis of brain connectivity using the concept of networks instead of regions. Approximately ten years ago, two important research areas grew out of this concept. First, a network proposed to be “a default mode of brain function” since dubbed the default mode network was proposed by Raichle. Secondly, multisubject or group independent component analysis (ICA) provided a data-driven approach to study properties of brain networks, including the default mode network. In this paper, we provide a focused review of how ICA has contributed to the study of intrinsic networks. We discuss some methodological considerations for group ICA and highlight multiple analytic approaches for studying brain networks. We also show examples of some of the differences observed in the default mode and resting networks in the diseased brain. In summary, we are in exciting times and still just beginning to reap the benefits of the richness of functional brain networks as well as available analytic approaches.","2012","2016-06-09 18:17:11","2016-06-09 18:17:11","","60-73","","","5","","","Multisubject Independent Component Analysis of fMRI","","","","","","","","","","","","IEEE Xplore","","","","/Users/Eva/Zotero/storage/72QVQF2K/abs_all.html; /Users/Eva/Zotero/storage/8F9JVWHQ/Calhoun and Adali - 2012 - Multisubject Independent Component Analysis of fMR.pdf","","","Algorithms; biomedical MRI; brain; brain connectivity; Brain Diseases; Brain function; brain models; complex-valued; Correlation; Default Mode Network; diseased brain; diseases; fMRI; functional brain networks; Functional connectivity; Higher order statistics; Humans; independent component analysis; independent component analysis (ICA); intrinsic networks; Magnetic resonance imaging; medical computing; Models, Neurological; Models, Statistical; multisubject independent component analysis; neural nets; neurodiagnostic discovery; neurophysiology; phase; schizophrenia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N7FI5KUF","journalArticle","2014","Power, Jonathan D.; Mitra, Anish; Laumann, Timothy O.; Snyder, Abraham Z.; Schlaggar, Bradley L.; Petersen, Steven E.","Methods to detect, characterize, and remove motion artifact in resting state fMRI","NeuroImage","","1053-8119","10.1016/j.neuroimage.2013.08.048","http://www.sciencedirect.com/science/article/pii/S1053811913009117","Head motion systematically alters correlations in resting state functional connectivity fMRI (RSFC). In this report we examine impact of motion on signal intensity and RSFC correlations. We find that motion-induced signal changes (1) are often complex and variable waveforms, (2) are often shared across nearly all brain voxels, and (3) often persist more than 10 s after motion ceases. These signal changes, both during and after motion, increase observed RSFC correlations in a distance-dependent manner. Motion-related signal changes are not removed by a variety of motion-based regressors, but are effectively reduced by global signal regression. We link several measures of data quality to motion, changes in signal intensity, and changes in RSFC correlations. We demonstrate that improvements in data quality measures during processing may represent cosmetic improvements rather than true correction of the data. We demonstrate a within-subject, censoring-based artifact removal strategy based on volume censoring that reduces group differences due to motion to chance levels. We note conditions under which group-level regressions do and do not correct motion-related effects.","2014-01-01","2016-05-20 19:42:29","2016-05-20 19:42:29","2016-05-20 19:42:29","320-341","","","84","","NeuroImage","","","","","","","","","","","","","ScienceDirect","","","","/Users/Eva/Zotero/storage/6HII87HC/Power et al. - 2014 - Methods to detect, characterize, and remove motion.pdf; /Users/Eva/Zotero/storage/VSAN3A33/S1053811913009117.html","","","Artifact; Functional connectivity; Motion; Movement; MRI; Resting state","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G6AG57RR","journalArticle","2013","Du, Yuhui; Fan, Yong","Group information guided ICA for fMRI data analysis","NeuroImage","","1053-8119","10.1016/j.neuroimage.2012.11.008","http://www.sciencedirect.com/science/article/pii/S1053811912011044","Group independent component analysis (ICA) has been widely applied to studies of multi-subject fMRI data for computing subject specific independent components with correspondence across subjects. However, the independence of subject specific independent components (ICs) derived from group ICA has not been explicitly optimized in existing group ICA methods. In order to preserve independence of ICs at the subject level and simultaneously establish correspondence of ICs across subjects, we present a new framework for obtaining subject specific ICs, which we coined group-information guided ICA (GIG-ICA). In this framework, group information captured by standard ICA on the group level is exploited as guidance to compute individual subject specific ICs using a multi-objective optimization strategy. Specifically, we propose a framework with two stages: at first, group ICs (GICs) are obtained using standard group ICA tools, and then the GICs are used as references in a new one-unit ICA with spatial reference (ICA-R) using a multi-objective optimization solver. Comparison experiments with back-reconstruction (GICA1 and GICA3) and dual regression on simulated and real fMRI data have demonstrated that GIG-ICA is able to obtain subject specific ICs with stronger independence and better spatial correspondence across different subjects in addition to higher spatial and temporal accuracy.","2013-04-01","2016-05-18 18:04:34","2016-05-18 18:04:34","2016-05-18 18:04:34","157-197","","","69","","NeuroImage","","","","","","","","","","","","","ScienceDirect","","","","/Users/Eva/Zotero/storage/JFEP22H2/1-s2.0-S1053811912011044-main.pdf; /Users/Eva/Zotero/storage/R9U575MZ/Du and Fan - 2013 - Group information guided ICA for fMRI data analysi.pdf; /Users/Eva/Zotero/storage/D9NSXWPH/S1053811912011044.html","","","Enhanced independence; fMRI; Group information; independent component analysis; Multi-objective optimization; Subject specific ICs reconstruction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NC6T2X44","journalArticle","2011","Allen, E. A.; Erhardt, Erik B.; Damaraju, Eswar; Gruner, William; Segall, Judith M.; Silva, Rogers F.; Havlicek, Martin; Rachakonda, Srinivas; Fries, Jill; Kalyanam, Ravi; Michael, Andrew M.; Caprihan, Arvind; Turner, Jessica A.; Eichele, Tom; Adelsheim, Steven; Bryan, Angela D.; Bustillo, Juan; Clark, Vincent P.; Feldstein Ewing, Sarah W.; Filbey, Francesca; Ford, Corey C.; Hutchison, Kent; Jung, Rex E.; Kiehl, Kent A.; Kodituwakku, Piyadasa; Komesu, Yuko M.; Mayer, Andrew R.; Pearlson, Godfrey D.; Phillips, John P.; Sadek, Joseph R.; Stevens, Michael; Teuscher, Ursina; Thoma, Robert J.; Calhoun, Vince D.","A Baseline for the Multivariate Comparison of Resting-State Networks","Frontiers in Systems Neuroscience","","1662-5137","10.3389/fnsys.2011.00002","http://journal.frontiersin.org/article/10.3389/fnsys.2011.00002/abstract","","2011","2016-01-22 18:50:46","2016-04-13 20:23:09","2016-01-22 18:50:46","","","","5","","","","","","","","","","","","","","","CrossRef","","","","/Users/Eva/Zotero/storage/R8J5SI8R/Allen EA (2011) A basline for the multivariate comparison of resting state networks.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FB4FN7ZR","journalArticle","2012","Allen, E. A.; Damaraju, E.; Plis, S. M.; Erhardt, E. B.; Eichele, T.; Calhoun, V. D.","Tracking Whole-Brain Connectivity Dynamics in the Resting State","Cerebral Cortex","","1047-3211, 1460-2199","10.1093/cercor/bhs352","http://www.cercor.oxfordjournals.org/cgi/doi/10.1093/cercor/bhs352","","2012-11","2016-01-22 18:50:50","2016-04-13 18:38:28","2016-01-22 18:50:50","663-676","","3","24","","","","","","","","","","en","","","","","CrossRef","","","","/Users/Eva/Zotero/storage/72PD6JK4/Allen EA (2012) Tracking whole-brain connectivity dynamics in resting state.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
