"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2S5DTF4L","journalArticle","1999","Dale, A. M.; Fischl, B.; Sereno, M. I.","Cortical surface-based analysis. I. Segmentation and surface reconstruction","NeuroImage","","1053-8119","10.1006/nimg.1998.0395","","Several properties of the cerebral cortex, including its columnar and laminar organization, as well as the topographic organization of cortical areas, can only be properly understood in the context of the intrinsic two-dimensional structure of the cortical surface. In order to study such cortical properties in humans, it is necessary to obtain an accurate and explicit representation of the cortical surface in individual subjects. Here we describe a set of automated procedures for obtaining accurate reconstructions of the cortical surface, which have been applied to data from more than 100 subjects, requiring little or no manual intervention. Automated routines for unfolding and flattening the cortical surface are described in a companion paper. These procedures allow for the routine use of cortical surface-based analysis and visualization methods in functional brain imaging.","1999-02","2019-01-10 01:29:16","2019-01-10 01:29:18","","179-194","","2","9","","Neuroimage","","","","","","","","eng","","","","","PubMed","","PMID: 9931268","","","http://www.ncbi.nlm.nih.gov/pubmed/9931268","","Brain Mapping; Cerebral Cortex; Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Reference Values; Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9YJABEPI","journalArticle","1993","Dale, A. M.; Sereno, M. I.","Improved Localizadon of Cortical Activity by Combining EEG and MEG with MRI Cortical Surface Reconstruction: A Linear Approach","Journal of Cognitive Neuroscience","","0898-929X","10.1162/jocn.1993.5.2.162","","Abstract We describe a comprehensive linear approach to the problem of imaging brain activity with high temporal as well as spatial resolution based on combining EEG and MEG data with anatomical constraints derived from MRI images. The ""inverse problem"" of estimating the distribution of dipole strengths over the cortical surface is highly underdetermined, even given closely spaced EEG and MEG recordings. We have obtained much better solutions to this problem by explicitly incorporating both local cortical orientation as well as spatial covariance of sources and sensors into our formulation. An explicit polygonal model of the cortical manifold is first constructed as follows: (1) slice data in three orthogonal planes of section (needle-shaped voxels) are combined with a linear deblurring technique to make a single high-resolution 3-D image (cubic voxels), (2) the image is recursively flood-filled to determine the topology of the gray-white matter border, and (3) the resulting continuous surface is refined by relaxing it against the original 3-D gray-scale image using a deformable template method, which is also used to computationally flatten the cortex for easier viewing. The explicit solution to an error minimization formulation of an optimal inverse linear operator (for a particular cortical manifold, sensor placement, noise and prior source covariance) gives rise to a compact expression that is practically computable for hundreds of sensors and thousands of sources. The inverse solution can then be weighted for a particular (averaged) event using the sensor covariance for that event. Model studies suggest that we may be able to localize multiple cortical sources with spatial resolution as good as PET with this technique, while retaining a much finer grained picture of activity over time.","1993","2019-01-10 01:29:49","2019-01-10 01:29:49","","162-176","","2","5","","J Cogn Neurosci","Improved Localizadon of Cortical Activity by Combining EEG and MEG with MRI Cortical Surface Reconstruction","","","","","","","eng","","","","","PubMed","","PMID: 23972151","","","http://www.ncbi.nlm.nih.gov/pubmed/23972151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V45AK6SS","journalArticle","2006","Desikan, Rahul S.; Ségonne, Florent; Fischl, Bruce; Quinn, Brian T.; Dickerson, Bradford C.; Blacker, Deborah; Buckner, Randy L.; Dale, Anders M.; Maguire, R. Paul; Hyman, Bradley T.; Albert, Marilyn S.; Killiany, Ronald J.","An automated labeling system for subdividing the human cerebral cortex on MRI scans into gyral based regions of interest","NeuroImage","","1053-8119","10.1016/j.neuroimage.2006.01.021","","In this study, we have assessed the validity and reliability of an automated labeling system that we have developed for subdividing the human cerebral cortex on magnetic resonance images into gyral based regions of interest (ROIs). Using a dataset of 40 MRI scans we manually identified 34 cortical ROIs in each of the individual hemispheres. This information was then encoded in the form of an atlas that was utilized to automatically label ROIs. To examine the validity, as well as the intra- and inter-rater reliability of the automated system, we used both intraclass correlation coefficients (ICC), and a new method known as mean distance maps, to assess the degree of mismatch between the manual and the automated sets of ROIs. When compared with the manual ROIs, the automated ROIs were highly accurate, with an average ICC of 0.835 across all of the ROIs, and a mean distance error of less than 1 mm. Intra- and inter-rater comparisons yielded little to no difference between the sets of ROIs. These findings suggest that the automated method we have developed for subdividing the human cerebral cortex into standard gyral-based neuroanatomical regions is both anatomically valid and reliable. This method may be useful for both morphometric and functional studies of the cerebral cortex as well as for clinical investigations aimed at tracking the evolution of disease-induced changes over time, including clinical trials in which MRI-based measures are used to examine response to treatment.","2006-07-01","2019-01-10 01:30:05","2019-01-10 01:30:05","","968-980","","3","31","","Neuroimage","","","","","","","","eng","","","","","PubMed","","PMID: 16530430","","","http://www.ncbi.nlm.nih.gov/pubmed/16530430","","Adult; Aged; Aged, 80 and over; Aging; Algorithms; Alzheimer Disease; Atrophy; Brain Mapping; Cerebral Cortex; Corpus Callosum; Dominance, Cerebral; Female; Humans; Image Processing, Computer-Assisted; Imaging, Three-Dimensional; Magnetic Resonance Imaging; Male; Middle Aged; Observer Variation; Reproducibility of Results; Software; Statistics as Topic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FA8ENBDK","journalArticle","2000","Fischl, B.; Dale, A. M.","Measuring the thickness of the human cerebral cortex from magnetic resonance images","Proceedings of the National Academy of Sciences of the United States of America","","0027-8424","10.1073/pnas.200033797","","Accurate and automated methods for measuring the thickness of human cerebral cortex could provide powerful tools for diagnosing and studying a variety of neurodegenerative and psychiatric disorders. Manual methods for estimating cortical thickness from neuroimaging data are labor intensive, requiring several days of effort by a trained anatomist. Furthermore, the highly folded nature of the cortex is problematic for manual techniques, frequently resulting in measurement errors in regions in which the cortical surface is not perpendicular to any of the cardinal axes. As a consequence, it has been impractical to obtain accurate thickness estimates for the entire cortex in individual subjects, or group statistics for patient or control populations. Here, we present an automated method for accurately measuring the thickness of the cerebral cortex across the entire brain and for generating cross-subject statistics in a coordinate system based on cortical anatomy. The intersubject standard deviation of the thickness measures is shown to be less than 0.5 mm, implying the ability to detect focal atrophy in small populations or even individual subjects. The reliability and accuracy of this new method are assessed by within-subject test-retest studies, as well as by comparison of cross-subject regional thickness measures with published values.","2000-09-26","2019-01-10 01:30:23","2019-01-10 01:30:23","","11050-11055","","20","97","","Proc. Natl. Acad. Sci. U.S.A.","","","","","","","","eng","","","","","PubMed","","PMID: 10984517 PMCID: PMC27146","","/Users/Eva/Zotero/storage/YZZ3GF98/Fischl and Dale - 2000 - Measuring the thickness of the human cerebral cort.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/10984517","","Cerebral Cortex; Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Radiography","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SNP8FUA3","journalArticle","2001","Fischl, B.; Liu, A.; Dale, A. M.","Automated manifold surgery: constructing geometrically accurate and topologically correct models of the human cerebral cortex","IEEE transactions on medical imaging","","0278-0062","10.1109/42.906426","","Highly accurate surface models of the cerebral cortex are becoming increasingly important as tools in the investigation of the functional organization of the human brain. The construction of such models is difficult using current neuroimaging technology due to the high degree of cortical folding. Even single voxel misclassifications can result in erroneous connections being created between adjacent banks of a sulcus, resulting in a topologically inaccurate model. These topological defects cause the cortical model to no longer be homeomorphic to a sheet, preventing the accurate inflation, flattening, or spherical morphing of the reconstructed cortex. Surface deformation techniques can guarantee the topological correctness of a model, but are time-consuming and may result in geometrically inaccurate models. In order to address this need we have developed a technique for taking a model of the cortex, detecting and fixing the topological defects while leaving that majority of the model intact, resulting in a surface that is both geometrically accurate and topologically correct.","2001-01","2019-01-10 01:30:50","2019-01-10 01:30:50","","70-80","","1","20","","IEEE Trans Med Imaging","Automated manifold surgery","","","","","","","eng","","","","","PubMed","","PMID: 11293693","","/Users/Eva/Zotero/storage/PJVNQWD7/Fischl et al. - 2001 - Automated manifold surgery constructing geometric.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/11293693","","Cerebral Cortex; Humans; Image Processing, Computer-Assisted; Imaging, Three-Dimensional; Magnetic Resonance Imaging","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5GHBZRG3","journalArticle","2002","Fischl, Bruce; Salat, David H.; Busa, Evelina; Albert, Marilyn; Dieterich, Megan; Haselgrove, Christian; van der Kouwe, Andre; Killiany, Ron; Kennedy, David; Klaveness, Shuna; Montillo, Albert; Makris, Nikos; Rosen, Bruce; Dale, Anders M.","Whole brain segmentation: automated labeling of neuroanatomical structures in the human brain","Neuron","","0896-6273","","","We present a technique for automatically assigning a neuroanatomical label to each voxel in an MRI volume based on probabilistic information automatically estimated from a manually labeled training set. In contrast to existing segmentation procedures that only label a small number of tissue classes, the current method assigns one of 37 labels to each voxel, including left and right caudate, putamen, pallidum, thalamus, lateral ventricles, hippocampus, and amygdala. The classification technique employs a registration procedure that is robust to anatomical variability, including the ventricular enlargement typically associated with neurological diseases and aging. The technique is shown to be comparable in accuracy to manual labeling, and of sufficient sensitivity to robustly detect changes in the volume of noncortical structures that presage the onset of probable Alzheimer's disease.","2002-01-31","2019-01-10 01:31:37","2019-01-10 01:31:37","","341-355","","3","33","","Neuron","Whole brain segmentation","","","","","","","eng","","","","","PubMed","","PMID: 11832223","","","http://www.ncbi.nlm.nih.gov/pubmed/11832223","","Aged; Alzheimer Disease; Brain; Brain Mapping; Female; Humans; Magnetic Resonance Imaging; Male; Reproducibility of Results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23KST77E","journalArticle","2004","Fischl, Bruce; Salat, David H.; van der Kouwe, André J. W.; Makris, Nikos; Ségonne, Florent; Quinn, Brian T.; Dale, Anders M.","Sequence-independent segmentation of magnetic resonance images","NeuroImage","","1053-8119","10.1016/j.neuroimage.2004.07.016","","We present a set of techniques for embedding the physics of the imaging process that generates a class of magnetic resonance images (MRIs) into a segmentation or registration algorithm. This results in substantial invariance to acquisition parameters, as the effect of these parameters on the contrast properties of various brain structures is explicitly modeled in the segmentation. In addition, the integration of image acquisition with tissue classification allows the derivation of sequences that are optimal for segmentation purposes. Another benefit of these procedures is the generation of probabilistic models of the intrinsic tissue parameters that cause MR contrast (e.g., T1, proton density, T2*), allowing access to these physiologically relevant parameters that may change with disease or demographic, resulting in nonmorphometric alterations in MR images that are otherwise difficult to detect. Finally, we also present a high band width multiecho FLASH pulse sequence that results in high signal-to-noise ratio with minimal image distortion due to B0 effects. This sequence has the added benefit of allowing the explicit estimation of T2* and of reducing test-retest intensity variability.","2004","2019-01-10 01:31:53","2019-01-10 01:31:53","","S69-84","","","23 Suppl 1","","Neuroimage","","","","","","","","eng","","","","","PubMed","","PMID: 15501102","","/Users/Eva/Zotero/storage/AMCMXA9E/Fischl et al. - 2004 - Sequence-independent segmentation of magnetic reso.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/15501102","","Algorithms; Brain; Cerebral Cortex; Echo-Planar Imaging; Functional Laterality; Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Models, Statistical; Nonlinear Dynamics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGHLW6RV","journalArticle","1999","Fischl, B.; Sereno, M. I.; Dale, A. M.","Cortical surface-based analysis. II: Inflation, flattening, and a surface-based coordinate system","NeuroImage","","1053-8119","10.1006/nimg.1998.0396","","The surface of the human cerebral cortex is a highly folded sheet with the majority of its surface area buried within folds. As such, it is a difficult domain for computational as well as visualization purposes. We have therefore designed a set of procedures for modifying the representation of the cortical surface to (i) inflate it so that activity buried inside sulci may be visualized, (ii) cut and flatten an entire hemisphere, and (iii) transform a hemisphere into a simple parameterizable surface such as a sphere for the purpose of establishing a surface-based coordinate system.","1999-02","2019-01-10 01:32:08","2019-01-10 01:32:08","","195-207","","2","9","","Neuroimage","Cortical surface-based analysis. II","","","","","","","eng","","","","","PubMed","","PMID: 9931269","","","http://www.ncbi.nlm.nih.gov/pubmed/9931269","","Artifacts; Brain Mapping; Cerebral Cortex; Dominance, Cerebral; Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VGMJZM4L","journalArticle","1999","Fischl, B.; Sereno, M. I.; Tootell, R. B.; Dale, A. M.","High-resolution intersubject averaging and a coordinate system for the cortical surface","Human Brain Mapping","","1065-9471","","","The neurons of the human cerebral cortex are arranged in a highly folded sheet, with the majority of the cortical surface area buried in folds. Cortical maps are typically arranged with a topography oriented parallel to the cortical surface. Despite this unambiguous sheetlike geometry, the most commonly used coordinate systems for localizing cortical features are based on 3-D stereotaxic coordinates rather than on position relative to the 2-D cortical sheet. In order to address the need for a more natural surface-based coordinate system for the cortex, we have developed a means for generating an average folding pattern across a large number of individual subjects as a function on the unit sphere and of nonrigidly aligning each individual with the average. This establishes a spherical surface-based coordinate system that is adapted to the folding pattern of each individual subject, allowing for much higher localization accuracy of structural and functional features of the human brain.","1999","2019-01-10 01:32:24","2019-01-10 01:32:24","","272-284","","4","8","","Hum Brain Mapp","","","","","","","","eng","","","","","PubMed","","PMID: 10619420","","","http://www.ncbi.nlm.nih.gov/pubmed/10619420","","Brain Mapping; Cerebral Cortex; Genetic Variation; Humans; Image Processing, Computer-Assisted; Models, Anatomic; Models, Neurological","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DXYFGLLN","journalArticle","2004","Fischl, Bruce; van der Kouwe, André; Destrieux, Christophe; Halgren, Eric; Ségonne, Florent; Salat, David H.; Busa, Evelina; Seidman, Larry J.; Goldstein, Jill; Kennedy, David; Caviness, Verne; Makris, Nikos; Rosen, Bruce; Dale, Anders M.","Automatically parcellating the human cerebral cortex","Cerebral Cortex (New York, N.Y.: 1991)","","1047-3211","","","We present a technique for automatically assigning a neuroanatomical label to each location on a cortical surface model based on probabilistic information estimated from a manually labeled training set. This procedure incorporates both geometric information derived from the cortical model, and neuroanatomical convention, as found in the training set. The result is a complete labeling of cortical sulci and gyri. Examples are given from two different training sets generated using different neuroanatomical conventions, illustrating the flexibility of the algorithm. The technique is shown to be comparable in accuracy to manual labeling.","2004-01","2019-01-10 01:32:38","2019-01-10 01:32:38","","11-22","","1","14","","Cereb. Cortex","","","","","","","","eng","","","","","PubMed","","PMID: 14654453","","","http://www.ncbi.nlm.nih.gov/pubmed/14654453","","Algorithms; Anisotropy; Artificial Intelligence; Bayes Theorem; Brain Mapping; Cerebral Cortex; Functional Laterality; Humans; Image Processing, Computer-Assisted; Markov Chains; Models, Neurological; Models, Statistical; Schizophrenia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
